Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,2,Tucumán,59.31,14.6914572899128
2022,1,Buenos Aires,76.0781466115726,25.5630301520284
2022,1,Capital Federal,111.797862691747,46.0143476214435
2022,1,Catamarca,58.2063508356117,14.8056195749953
2022,1,Chaco,44.0594800994188,11.7753420404361
2022,1,Chubut,88.0527409383577,26.9887596631044
2022,1,Córdoba,85.7574535631355,26.2552622183512
2022,1,Corrientes,47.6446351415023,12.5452812873128
2022,1,Entre Ríos,63.7009034712316,19.0454052709211
2022,1,Formosa,34.9556869957513,8.89642743559843
2022,1,Jujuy,58.0646286642678,14.8476418286294
2022,1,La Pampa,91.6633253140871,30.2004150314026
2022,1,La Rioja,78.774598665645,20.9691741722694
2022,1,Mendoza,48.7352409355834,13.5994765497552
2022,1,Misiones,49.0433419977295,13.3575393367025
2022,1,Neuquén,74.1730550999272,22.0774604260943
2022,1,Río Negro,67.0364075498703,20.6182298408439
2022,1,Salta,56.1075934084976,13.5881660533538
2022,1,San Juan,43.5459816093316,11.0921164686066
2022,1,San Luis,80.7242306060177,23.1016562316874
2022,1,Santa Cruz,43.3384231105305,12.8942973288096
2022,1,Santa Fe,77.304584747584,24.3073969989344
2022,1,Santiago Del Estero,47.1727383932405,11.7068821320295
2022,1,Tierra Del Fuego,98.2905503867279,29.1386510406859
2022,1,Tucumán,57.3900322723119,14.2155333342981
2021,4,Buenos Aires,75.6641060233847,25.3625141144029
2021,4,Capital Federal,111.270026128917,45.8485107145629
2021,4,Catamarca,55.2526999859741,14.0542237592254
2021,4,Chaco,44.0485638902593,11.7723994581641
2021,4,Chubut,82.5734006387143,25.309325144657
2021,4,Córdoba,84.5094185304609,25.8731537155377
2021,4,Corrientes,45.5101610294635,11.9831985526209
2021,4,Entre Ríos,63.1553614361658,18.8822776766148
2021,4,Formosa,34.4545746388443,8.76886524220062
2021,4,Jujuy,56.9210705148705,14.5552419442425
2021,4,La Pampa,89.5673427024131,29.509892061531
2021,4,La Rioja,77.9234900964576,20.742382050284
2021,4,Mendoza,47.5053170903177,13.2562590069906
2021,4,Misiones,49.064620730585,13.3633190432684
2021,4,Neuquén,73.3001625402001,21.8175631190774
2021,4,Río Negro,65.6948996116065,20.2056135684454
2021,4,Salta,56.8144260576222,13.7593376914977
2021,4,San Juan,39.5888518648717,10.0841332359703
2021,4,San Luis,80.2957828313538,22.9789562419762
2021,4,Santa Cruz,43.0512146611735,12.8088213538475
2021,4,Santa Fe,77.0892017943923,24.2396579975196
2021,4,Santiago Del Estero,47.0459491943867,11.6754404704801
2021,4,Tierra Del Fuego,98.4006164486543,29.1710078391825
2021,4,Tucumán,55.9259910242439,13.8528804464241
2021,3,Buenos Aires,71.6821894010193,23.9698919039995
2021,3,Capital Federal,111.271055142509,45.9003834652686
2021,3,Catamarca,52.7097934860013,13.4074723766124
2021,3,Chaco,42.9624100796766,11.4821345600996
2021,3,Chubut,80.7097384765756,24.7383755028802
2021,3,Córdoba,81.2845665540848,24.8859576286757
2021,3,Corrientes,44.9008831266441,11.8228555121759
2021,3,Entre Ríos,62.1794014538577,18.5905655958691
2021,3,Formosa,33.9620335406843,8.64358218729535
2021,3,Jujuy,55.6892647441935,14.240381868424
2021,3,La Pampa,84.2799630965361,27.7678911910512
2021,3,La Rioja,77.2601606138685,20.5659645302194
2021,3,Mendoza,45.548284680561,12.710228113581
2021,3,Misiones,45.5706536580879,12.4117725813258
2021,3,Neuquén,69.7065334450161,20.7481620211386
2021,3,Río Negro,61.9672131147541,19.059250627465
2021,3,Salta,55.9642780595842,13.5535260221222
2021,3,San Juan,39.4554480019856,10.0502366420225
2021,3,San Luis,79.8704334921291,22.8574088187895
2021,3,Santa Cruz,43.7473202801201,13.0162543718839
2021,3,Santa Fe,75.0170476272823,23.5881524458178
2021,3,Santiago Del Estero,47.0,11.6607366908917
2021,3,Tierra Del Fuego,94.9538682598503,28.1501701128294
2021,3,Tucumán,54.636044861008,13.5334467757118
2021,2,Buenos Aires,70.0033033602797,23.352473727873
2021,2,Capital Federal,110.144402032121,45.4871904812949
2021,2,Catamarca,52.3403096626386,13.3137486714673
2021,2,Chaco,43.3276272929354,11.5800413405394
2021,2,Chubut,72.2941048193647,22.1597817714202
2021,2,Córdoba,80.1151879593124,24.5284062912537
2021,2,Corrientes,43.5411637336848,11.4650645801296
2021,2,Entre Ríos,61.6602644647879,18.4356806329179
2021,2,Formosa,33.2254841932261,8.45629304957047
2021,2,Jujuy,56.1821570114677,14.3667840692187
2021,2,La Pampa,82.080006723254,27.0435584401919
2021,2,La Rioja,76.9786615851933,20.4915850957506
2021,2,Mendoza,40.9732418261709,11.4338470668006
2021,2,Misiones,45.0128113119994,12.2601465948529
2021,2,Neuquén,69.1402108463862,20.5802361256459
2021,2,Río Negro,61.9420405741775,19.0520518601284
2021,2,Salta,54.9300901747889,13.3034413913845
2021,2,San Juan,39.2840257006206,10.0067190669371
2021,2,San Luis,83.4781072006307,23.8905552767436
2021,2,Santa Cruz,44.0149166554342,13.096756425785
2021,2,Santa Fe,75.0687862629301,23.6047874530137
2021,2,Santiago Del Estero,46.5572753649211,11.5543888752169
2021,2,Tierra Del Fuego,67.8858077522918,20.1266479457771
2021,2,Tucumán,54.928196510348,13.606163819728
2021,1,Buenos Aires,69.1052407618594,22.998353975762
2021,1,Capital Federal,108.419939223293,44.8269901646418
2021,1,Catamarca,48.8990929278482,12.4382789182565
2021,1,Chaco,43.1364924170879,11.5288964774878
2021,1,Chubut,68.9942808881567,21.1478383150763
2021,1,Córdoba,78.5902806238002,24.0613716456615
2021,1,Corrientes,42.6641284388214,11.2341158695361
2021,1,Entre Ríos,60.4394497283423,18.0705817215044
2021,1,Formosa,32.7329557563272,8.33089528442991
2021,1,Jujuy,55.6324478962054,14.2260459665007
2021,1,La Pampa,81.7767634575221,26.943299898725
2021,1,La Rioja,49.8069351907935,13.2583601634496
2021,1,Mendoza,39.1536615289964,10.9260024514795
2021,1,Misiones,43.1724389059718,11.7588116112233
2021,1,Neuquén,66.8420894204527,19.895917331183
2021,1,Río Negro,60.8792403032577,18.7249056578747
2021,1,Salta,53.9300192633909,13.0611284262362
2021,1,San Juan,39.0551943353576,9.94836869480331
2021,1,San Luis,81.2373017712751,23.248835158317
2021,1,Santa Cruz,41.6478310399074,12.3918254034438
2021,1,Santa Fe,73.9165640702618,23.2423821861305
2021,1,Santiago Del Estero,45.6730828236546,11.3348711690326
2021,1,Tierra Del Fuego,77.3493560917737,22.9312154304354
2021,1,Tucumán,54.8189225412539,13.5789638246782
2020,4,Buenos Aires,68.9770222017074,22.9015115325469
2020,4,Capital Federal,108.311074890435,44.8339684267828
2020,4,Catamarca,49.4068835454974,12.5674593085451
2020,4,Chaco,43.0307886497791,11.5006461780409
2020,4,Chubut,68.3518991582562,20.9508711746216
2020,4,Córdoba,78.0796087633819,23.904978675681
2020,4,Corrientes,42.428283946949,11.1720027347886
2020,4,Entre Ríos,59.4743067609738,17.7819708307277
2020,4,Formosa,32.4873819075967,8.26839085381519
2020,4,Jujuy,53.4565912339089,13.6696231171354
2020,4,La Pampa,81.7679324894515,26.9404221718048
2020,4,La Rioja,50.1106121170115,13.3391295117309
2020,4,Mendoza,38.6295789622782,10.7797538577923
2020,4,Misiones,42.6441141611923,11.6148987925828
2020,4,Neuquén,67.0023452204809,19.9435555508951
2020,4,Río Negro,61.0886154804548,18.7893190551718
2020,4,Salta,54.0427520014766,13.0883890574111
2020,4,San Juan,36.3208821557581,9.25185812016353
2020,4,San Luis,81.679478061057,23.3753143684741
2020,4,Santa Cruz,36.999572459088,11.0086826606617
2020,4,Santa Fe,73.5807380726778,23.1367697431769
2020,4,Santiago Del Estero,43.7492566206899,10.8574371648052
2020,4,Tierra Del Fuego,76.265834969774,22.6095691431376
2020,4,Tucumán,54.7834044136996,13.5701698084289
2020,3,Buenos Aires,67.6561898309092,22.4100880534403
