Provincia,Año,Accesos por cada 100 hogares,Accesos por cada 100 hab
Río Negro,2018,202.3688074774939,62.247756084190996
Río Negro,2019,233.79556785079882,71.9127681479514
Río Negro,2020,229.6260253047154,70.62843444618579
Río Negro,2021,250.4833936037958,77.0418217139135
Río Negro,2022,271.2864075498703,83.4357733682273
Río Negro,2023,276.38,85.00999999999999
Río Negro,2024,142.49,43.83
Salta,2014,87.6721399742388,21.16135065823527
Salta,2015,123.240349937074,29.798316120313388
Salta,2016,129.04722341679098,31.20298746078482
Salta,2017,144.95085285681571,35.10831217805012
Salta,2018,158.9418072232383,38.49617458453549
Salta,2019,176.8223595827613,42.82573931249835
Salta,2020,207.5357277534969,50.2631483874284
Salta,2021,221.6388135553862,53.6774335312406
Salta,2022,229.3675934084976,55.5541766108025
Salta,2023,229.7,55.63
Salta,2024,112.02,27.12
San Juan,2014,83.6740880106223,21.25398085880609
San Juan,2015,110.5264857716592,28.11629246240913
San Juan,2016,109.2811242122833,27.79986111007267
San Juan,2017,116.6681956599124,29.72009715202891
San Juan,2018,130.50349487455668,33.24406792608137
San Juan,2019,137.3500641546449,34.98761627769118
San Juan,2020,142.59798730984159,36.32375496324275
San Juan,2021,157.3835199028355,40.08945763973321
San Juan,2022,194.6859816093316,49.5900289242378
San Juan,2023,197.8,50.37
San Juan,2024,102.78999999999999,26.18
San Luis,2014,29.21551432589577,8.33352056167346
San Luis,2015,38.83629305420932,11.09712333607907
San Luis,2016,38.461302256628244,10.98994999466867
San Luis,2017,45.1240633685995,12.91471964079739
San Luis,2018,150.2027835127459,42.98766171652438
San Luis,2019,309.2740466269436,88.51233009089461
San Luis,2020,316.3594193544133,90.5382967829367
San Luis,2021,324.8816252953887,92.9757554958263
San Luis,2022,334.4942306060177,95.7186289104593
San Luis,2023,384.2,109.94
San Luis,2024,206.10000000000002,58.980000000000004
Santa Cruz,2014,85.4116290269816,25.24548645599684
Santa Cruz,2015,110.4179390208518,32.75255839954994
Santa Cruz,2016,107.4767363570663,31.88004239312708
Santa Cruz,2017,114.9779341659606,34.21701568140219
Santa Cruz,2018,123.3021688038577,36.69239038925543
Santa Cruz,2019,124.8532421163089,37.15173945341694
Santa Cruz,2020,144.718001625694,43.060737402568
Santa Cruz,2021,172.4612826366352,51.3136575549602
Santa Cruz,2022,173.2084231105305,51.533920167336
Santa Cruz,2023,199.72,59.42
Santa Cruz,2024,137.5,40.900000000000006
Santa Fe,2014,147.58585885575678,46.312478939749
Santa Fe,2015,206.1750781946996,64.7647094838179
Santa Fe,2016,208.57701871949882,65.5212975621179
Santa Fe,2017,226.8588457859672,71.3366193945772
Santa Fe,2018,253.8494743207305,79.82311728861029
Santa Fe,2019,272.7511487130332,85.76580080462631
Santa Fe,2020,285.2270885858785,89.6877042024568
Santa Fe,2021,301.0915997548665,94.6749800824816
Santa Fe,2022,312.154584747584,98.153303798099
Santa Fe,2023,315.8,99.31
Santa Fe,2024,161.74,50.86
Santiago Del Estero,2014,50.4569728393014,12.48881472536684
Santiago Del Estero,2015,68.29018419353079,16.92626311388631
Santiago Del Estero,2016,62.4921683430343,15.49050946645947
Santiago Del Estero,2017,93.0685385612266,23.09820791423736
Santiago Del Estero,2018,143.895076588751,35.71230000294885
Santiago Del Estero,2019,188.5340733013021,46.790459957040596
Santiago Del Estero,2020,173.0587139502844,42.9491392674909
Santiago Del Estero,2021,186.2763073829624,46.2254372056213
Santiago Del Estero,2022,190.9027383932405,47.3736201001584
